Calendar,Category,Event,Starts,Ends,Notes,Frequency,Options,Repetition Type,Sunday?,Monday?,Tuesday?,Wednesday?,Thursday?,Friday?,Saturday?
Retail Business,CRM,CRM: Friends and Family,2014-06-01,2014-06-01,,,,none,,,,,,,
Retail Business,CRM,CRM: GC Price Tracker,2014-06-01,2014-06-01,,,,none,,,,,,,
Retail Business,Global,Flash Deals,2014-04-29,2014-04-29,,,,none,,,,,,,
Retail Business,Global,Flash Deals,2014-05-05,2014-05-05,,,,none,,,,,,,
Retail Business,Global,Flash Deals,2014-05-12,2014-05-12,,,,none,,,,,,,
Retail Business,Global,Flash Deals,2014-05-19,2014-05-19,,,,none,,,,,,,
Retail Business,Global,Flash Deals,2014-05-26,2014-05-26,,,,none,,,,,,,
Retail Business,Global,Guitar Care Email Acoustic,2014-05-05,2014-05-05,,,,none,,,,,,,
Retail Business,Global,Guitar Care Email Electric,2014-05-05,2014-05-05,,,,none,,,,,,,
Retail Business,Global,50th Kickoff - Include Low Responders,2014-04-30,2014-04-30,,,,none,,,,,,,
Retail Business,Global,50th Kickoff San Ysidro,2014-04-30,2014-04-30,,,,none,,,,,,,
Retail Business,Global,50th Kickoff Dallas,2014-04-30,2014-04-30,,,,none,,,,,,,
Retail Business,Global,50th Kickoff Atlanta,2014-04-30,2014-04-30,,,,none,,,,,,,
Retail Business,Global,GC Pro Vocal Chain,2014-04-30,2014-04-30,,,,none,,,,,,,
Retail Business,Global,New and Exclusive - Include Low Responders,2014-05-06,2014-05-06,,,,none,,,,,,,
Retail Business,Global,New and Exclusive San Ysidro,2014-05-06,2014-05-06,,,,none,,,,,,,
Retail Business,Global,New and Exclusive Dallas,2014-05-06,2014-05-06,,,,none,,,,,,,
Retail Business,Global,New and Exclusive Atlanta,2014-05-06,2014-05-06,,,,none,,,,,,,
Retail Business,Global,GC Pro New and Exclusive,2014-05-06,2014-05-06,,,,none,,,,,,,
Retail Business,Global,President's Day Sale - Include Low Responders - Include Non Responders,2014-05-13,2014-05-13,,,,none,,,,,,,
Retail Business,Global,President's Day Sale San Ysidro,2014-05-13,2014-05-13,,,,none,,,,,,,
Retail Business,Global,President's Day Sale Dallas,2014-05-13,2014-05-13,,,,none,,,,,,,
Retail Business,Global,President's Day Sale Atlanta,2014-05-13,2014-05-13,,,,none,,,,,,,
Retail Business,Global,GC Pro President's Day Sale,2014-05-13,2014-05-13,,,,none,,,,,,,
Retail Business,Global,$29 Accessory Sale - Include Low Responders,2014-05-20,2014-05-20,,,,none,,,,,,,
Retail Business,Global,$29 Accessory Sale San Ysidro,2014-05-20,2014-05-20,,,,none,,,,,,,
Retail Business,Global,$29 Accessory Sale Dallas,2014-05-20,2014-05-20,,,,none,,,,,,,
Retail Business,Global,$29 Accessory Sale Atlanta,2014-05-20,2014-05-20,,,,none,,,,,,,
Retail Business,Global,GC Pro Monitors/Monitoring,2014-05-20,2014-05-20,,,,none,,,,,,,
Retail Business,Global,Green Tag (elixir sub) PC Test - Include Low Responders,2014-05-27,2014-05-27,,,,none,,,,,,,
Retail Business,Global,Green Tag San Ysidro,2014-05-27,2014-05-27,,,,none,,,,,,,
Retail Business,Global,Green Tag Dallas,2014-05-27,2014-05-27,,,,none,,,,,,,
Retail Business,Global,Green Tag Atlanta,2014-05-27,2014-05-27,,,,none,,,,,,,
Retail Business,Global,GC Pro Green Tag,2014-05-27,2014-05-27,,,,none,,,,,,,
Retail Business,Global,GC Newsletter,2014-05-01,2014-05-01,,,,none,,,,,,,
Retail Business,Global,GC Newsletter,2014-05-07,2014-05-07,,,,none,,,,,,,
Retail Business,Global,GC Newsletter,2014-05-14,2014-05-14,,,,none,,,,,,,
Retail Business,Global,GC Newsletter,2014-05-21,2014-05-21,,,,none,,,,,,,
Retail Business,Global,GC Newsletter,2014-05-28,2014-05-28,,,,none,,,,,,,
Retail Business,Global,Buyer's Guide,2014-05-01,2014-05-01,,,,none,,,,,,,
Retail Business,Global,Buyer's Guide,2014-05-15,2014-05-15,,,,none,,,,,,,
Retail Business,Global,Pedal Month Launch,2014-06-01,2014-06-01,,,,none,,,,,,,
Retail Business,Insights,CI: Sales Circ Survey,2014-04-27,2014-04-27,,,,none,,,,,,,
Retail Business,Insights,CI: Census Survey Invite 3 (600K 12M Purch.),2014-05-02,2014-05-02,,,,none,,,,,,,
Retail Business,Insights,CI: Census Survey eCerts 2 (include outstanding invite 1 respondents),2014-05-09,2014-05-09,,,,none,,,,,,,
Retail Business,Insights,CI: Census Survey Invite 4 (600K 12M Purch.),2014-05-16,2014-05-16,,,,none,,,,,,,
Retail Business,Insights,CI: Census Survey eCerts 3,2014-05-23,2014-05-23,,,,none,,,,,,,
Retail Business,Insights,CI: Census Survey Invite 5 (600K 12M Purch.),2014-06-02,2014-06-02,,,,none,,,,,,,
Retail Business,Local Events,Local Events (4) - Include Low Responders,2014-04-28,2014-04-28,,,,none,,,,,,,
Retail Business,Local Events,Local Events (5) - Include Low Responders,2014-05-04,2014-05-04,,,,none,,,,,,,
Retail Business,Local Events,Local Events (2),2014-05-06,2014-05-06,,,,none,,,,,,,
Retail Business,Local Events,Local Events (3) - Include Low Responders,2014-05-11,2014-05-11,,,,none,,,,,,,
Retail Business,Local Events,Local Events (1),2014-05-13,2014-05-13,,,,none,,,,,,,
Retail Business,Local Events,Local Events (6) - Include Low Responders,2014-05-18,2014-05-18,,,,none,,,,,,,
Retail Business,Local Events,Local Events (1),2014-05-20,2014-05-20,,,,none,,,,,,,
Retail Business,Local Events,Local Events (11) - Include Low Responders,2014-05-25,2014-05-25,,,,none,,,,,,,
Retail Business,Local Events,Local Events (1),2014-05-27,2014-05-27,,,,none,,,,,,,
Retail Business,MMS,MMS (2) -Include Low Responders,2014-04-28,2014-04-28,,,,none,,,,,,,
Retail Business,MMS,MMS (3) -Include Low Responders,2014-05-04,2014-05-04,,,,none,,,,,,,
Retail Business,MMS,MMS (4) -Include Low Responders,2014-05-11,2014-05-11,,,,none,,,,,,,
Retail Business,MMS,MMS (4) -Include Low Responders,2014-05-18,2014-05-18,,,,none,,,,,,,
Retail Business,MMS,MMS (3) -Include Low Responders,2014-05-25,2014-05-25,,,,none,,,,,,,
Sales Support,Collateral & Presentations,Product Brochures,2014-04-10,2014-04-17,,,,none,,,,,,,
Sales Support,Collateral & Presentations,Industry Pres.,2014-04-15,2014-04-25,,,,none,,,,,,,
Sales Support,Sales Promotions,Every Friday,2014-01-17,2014-03-31,,,,weekly,,,,,,true,
Sales Support,Sales Promotions,Sales Promo (offer),2014-01-25,2014-04-07,,,,none,,,,,,,
